aX,aY,aZ,gX,gY,gZ
205.06,-7847.04,-4049.14,529.00,-401.00,-859.00
1872.20,-9875.42,-5094.30,867.00,276.00,-1130.00
4229.32,-11435.22,-5094.30,997.00,100.00,-795.00
4229.32,-11435.22,-5094.30,837.00,-157.00,-276.00
4229.32,-11435.22,-5094.30,540.00,158.00,-277.00
4229.32,-11435.22,-5094.30,421.00,248.00,-241.00
4229.32,-11435.22,-4300.18,479.00,204.00,-543.00
2945.83,-9156.73,-3569.71,643.00,575.00,-962.00
2719.71,-8006.59,-2574.22,777.00,259.00,-688.00
2527.06,-7910.31,-1735.73,845.00,31.00,-483.00
2411.90,-7610.04,-799.04,944.00,-28.00,-80.00
2381.82,-7571.85,264.18,1155.00,115.00,117.00
2339.76,-7516.75,1016.51,1375.00,213.00,159.00
2321.59,-7406.42,1676.30,1439.00,356.00,51.00
2321.59,-7118.09,2356.58,1445.00,950.00,-277.00
2201.66,-7102.82,3138.35,989.00,1474.00,-408.00
2161.43,-6960.05,3831.41,614.00,1126.00,-196.00
2159.05,-6789.25,4410.45,617.00,758.00,-165.00
2159.05,-6774.03,5169.87,673.00,557.00,-636.00
2159.05,-6163.95,5612.83,784.00,-82.00,-537.00
1714.60,-5525.97,5672.72,984.00,-570.00,20.00
1460.36,-5225.18,5762.50,806.00,-944.00,150.00
873.81,-4959.51,6231.10,348.00,-1144.00,-56.00
341.28,-4783.71,6691.06,116.00,-852.00,-278.00
341.28,-4783.71,7217.04,-74.00,-355.00,-479.00
341.28,-4783.71,7240.05,-64.00,-134.00,-341.00
341.28,-4783.71,7240.05,49.00,-297.00,20.00
341.28,-4783.71,7240.05,87.00,-238.00,213.00
1737.17,-5029.54,7240.05,15.00,-61.00,77.00
2114.98,-5904.12,7240.05,-37.00,-82.00,-109.00
2244.30,-6200.97,7016.30,-59.00,-77.00,-83.00
2397.79,-6254.28,6711.78,-75.00,-182.00,-70.00
2594.34,-6312.58,6364.67,-8.00,-117.00,-140.00
2687.23,-6318.47,5607.60,70.00,-18.00,-210.00
2787.00,-6346.87,5128.56,125.00,-22.00,-160.00
2862.72,-6482.12,4799.94,165.00,-47.00,-42.00
2895.00,-6583.16,4677.96,149.00,-32.00,-107.00
2895.00,-6583.16,4575.18,80.00,-19.00,-162.00
2895.00,-6583.16,4575.18,72.00,-66.00,-128.00
2912.22,-6583.16,4575.18,18.00,-170.00,-5.00
2920.76,-6583.16,4575.18,-34.00,20.00,88.00
2942.60,-6378.69,4575.18,-48.00,391.00,74.00
2953.95,-6259.62,4821.27,-69.00,383.00,211.00
2967.26,-6120.11,5220.76, 2.00,167.00,476.00
3305.33,-6120.11,5832.06,86.00,400.00,426.00
3413.95,-6120.11,6380.03,195.00,970.00,359.00
3413.95,-6120.11,6790.82,420.00,1214.00,669.00
3413.95,-6120.11,7503.29,548.00,972.00,1257.00
3413.95,-6120.11,8237.98,482.00,1026.00,1268.00
3413.95,-6120.11,8577.59,104.00,457.00,1418.00
3401.75,-6120.11,8919.75,-269.00,60.00,1826.00
1910.25,-6120.11,9030.53,-774.00,-104.00,1703.00
744.55,-5797.55,9030.53,-1297.00,11.00,1139.00
-577.67,-4459.73,9030.53,-1695.00,-507.00,690.00
-1369.53,-3472.64,9030.53,-1930.00,-672.00,-11.00
-1369.53,-2473.98,9030.53,-2191.00,-191.00,-753.00
-1369.53,-2473.98,8381.12,-2346.00,188.00,-1231.00
-1369.53,-2473.98,7475.47,-2452.00,444.00,-1442.00
-1369.53,-2473.98,6510.48,-2647.00,198.00,-1610.00
-600.52,-2473.98,5793.49,-2657.00,201.00,-1427.00
-269.51,-2618.79,4889.69,-2314.00,-66.00,-808.00
-258.31,-2992.47,3750.62,-1723.00,-1239.00,695.00
-249.07,-3286.28,1731.57,-1103.00,-2580.00,1843.00
-155.79,-4255.77,-87.46,-249.00,-2256.00,1404.00
64.16,-5829.06,-2427.67,301.00,-501.00,117.00
505.90,-7723.04,-4531.00,586.00,-518.00,152.00
2613.94,-10293.82,-6049.80,341.00,-1224.00,337.00
5054.36,-11040.34,-6332.68,304.00,-917.00,-36.00
5775.14,-11040.34,-6332.68,288.00,-31.00,-795.00
5775.14,-11040.34,-6332.68,194.00,-145.00,-722.00
5775.14,-11040.34,-6332.68,163.00,-401.00,-206.00
5775.14,-11040.34,-6332.68,109.00,115.00,64.00
5775.14,-9913.00,-5874.91,523.00,433.00,-335.00
4468.28,-8824.20,-5256.14,825.00,435.00,-535.00
3551.07,-8032.98,-4610.49,1075.00,-225.00,-469.00
3415.44,-7970.30,-3703.09,1192.00,-46.00,-601.00
3256.97,-7817.32,-2794.26,1359.00,-410.00, 5.00
3129.78,-7817.32,-1733.75,1540.00,-778.00,563.00
2788.06,-7817.32,-627.45,1558.00,-845.00,507.00
2466.04,-7765.79,637.93,1915.00,530.00,-156.00
2466.04,-7765.79,1586.36,1601.00,1920.00,-1266.00
2439.00,-7765.79,2310.61,1391.00,2027.00,-1089.00
2288.76,-7648.22,2957.57,1205.00,1138.00,-344.00
1991.22,-7640.27,4156.14,1054.00,854.00,-297.00
1809.00,-7465.84,5228.88,928.00,548.00,-187.00
1746.33,-7373.50,6004.53,933.00,266.00,33.00
1323.66,-7143.73,6242.72,1008.00,254.00,-72.00
767.39,-6596.50,6376.50,860.00,22.00,-546.00
174.44,-5661.90,6396.83,816.00,-416.00,-363.00
-33.28,-5187.94,6607.50,567.00,-475.00,-238.00
-33.28,-5055.56,7132.24,317.00,-542.00,-90.00
-33.28,-4835.34,7132.24,66.00,-475.00,-38.00
-33.28,-4835.34,7132.24,-34.00,-289.00,-179.00
-33.28,-4835.34,7132.24,-37.00,-230.00,-107.00
440.26,-4835.34,7132.24,50.00,-142.00,31.00
1242.15,-4835.34,6878.95,128.00,-32.00,177.00
2124.09,-4923.34,6677.37,143.00,-77.00,162.00
2601.26,-5515.20,6412.82, 3.00,-60.00,-42.00
